BARBAKC583_RS00005	WP_005765660.1
BARBAKC583_RS03730	WP_011807356.1
BARBAKC583_RS03740	WP_005767046.1
BARBAKC583_RS03745	WP_005767047.1
BARBAKC583_RS03755	WP_005767048.1
BARBAKC583_RS03780	WP_005767058.1
BARBAKC583_RS03795	WP_005767060.1
BARBAKC583_RS03800	WP_005767062.1
BARBAKC583_RS03805	WP_005767064.1
BARBAKC583_RS03810	WP_005767066.1
BARBAKC583_RS03815	WP_005767068.1
BARBAKC583_RS03820	WP_005767070.1
BARBAKC583_RS03825	WP_005767072.1
BARBAKC583_RS03830	WP_005767074.1
BARBAKC583_RS03835	WP_005767075.1
BARBAKC583_RS03840	WP_005767077.1
BARBAKC583_RS03845	WP_005767079.1
BARBAKC583_RS03850	WP_005767081.1
BARBAKC583_RS03855	WP_005767083.1
BARBAKC583_RS03860	WP_005767085.1
BARBAKC583_RS03865	WP_172952860.1
BARBAKC583_RS03870	WP_005767088.1
BARBAKC583_RS03875	WP_005767091.1
BARBAKC583_RS03880	WP_005767093.1
BARBAKC583_RS03885	WP_005767095.1
BARBAKC583_RS03890	WP_005767097.1
BARBAKC583_RS03895	WP_005767099.1
BARBAKC583_RS03905	WP_005767101.1
BARBAKC583_RS03915	WP_005767105.1
BARBAKC583_RS03920	WP_005767107.1
BARBAKC583_RS03925	WP_011807361.1
BARBAKC583_RS03930	WP_005767112.1
BARBAKC583_RS03935	WP_005767115.1
BARBAKC583_RS03945	WP_005767117.1
BARBAKC583_RS03950	WP_005767119.1
BARBAKC583_RS03955	WP_005767122.1
BARBAKC583_RS03960	WP_005767124.1
BARBAKC583_RS03965	WP_005767126.1
BARBAKC583_RS03970	WP_005767128.1
BARBAKC583_RS03975	WP_005767130.1
BARBAKC583_RS03985	WP_005767132.1
BARBAKC583_RS03990	WP_011807364.1
BARBAKC583_RS03995	WP_005767144.1
BARBAKC583_RS04000	WP_005767146.1
BARBAKC583_RS04005	WP_005767147.1
BARBAKC583_RS04010	WP_005767149.1
BARBAKC583_RS04015	WP_005767151.1
BARBAKC583_RS04020	WP_005767158.1
BARBAKC583_RS04030	WP_005767165.1
BARBAKC583_RS04035	WP_005767167.1
BARBAKC583_RS04040	WP_005767169.1
BARBAKC583_RS04045	WP_011807366.1
BARBAKC583_RS04050	WP_005767173.1
BARBAKC583_RS04055	WP_005767175.1
BARBAKC583_RS04060	WP_005767176.1
BARBAKC583_RS04065	WP_005767179.1
BARBAKC583_RS04070	WP_005767181.1
BARBAKC583_RS04075	WP_035453098.1
BARBAKC583_RS04080	WP_005767184.1
BARBAKC583_RS04085	WP_005767186.1
BARBAKC583_RS04090	WP_005767188.1
BARBAKC583_RS04095	WP_005767190.1
BARBAKC583_RS04100	WP_005767192.1
BARBAKC583_RS04105	WP_005767194.1
BARBAKC583_RS04110	WP_005767196.1
BARBAKC583_RS04125	WP_005767198.1
BARBAKC583_RS04130	WP_005767202.1
BARBAKC583_RS04140	WP_225866720.1
BARBAKC583_RS04150	WP_005767215.1
BARBAKC583_RS04155	WP_005767217.1
BARBAKC583_RS04160	WP_011807367.1
BARBAKC583_RS04165	WP_005767222.1
BARBAKC583_RS04170	WP_005767224.1
BARBAKC583_RS04175	WP_005767246.1
BARBAKC583_RS04180	WP_005767248.1
BARBAKC583_RS04185	WP_005767250.1
BARBAKC583_RS04190	WP_035453092.1
BARBAKC583_RS04195	WP_005767254.1
BARBAKC583_RS04200	WP_005767256.1
BARBAKC583_RS04205	WP_005767258.1
BARBAKC583_RS04210	WP_005767260.1
BARBAKC583_RS04215	WP_005767262.1
BARBAKC583_RS04220	WP_005767264.1
BARBAKC583_RS04225	WP_005767266.1
BARBAKC583_RS04230	WP_005767268.1
BARBAKC583_RS04235	WP_005767270.1
BARBAKC583_RS04245	WP_005767272.1
BARBAKC583_RS04250	WP_005767273.1
BARBAKC583_RS04255	WP_005767274.1
BARBAKC583_RS04260	WP_035453088.1
BARBAKC583_RS04265	WP_005767276.1
BARBAKC583_RS04270	WP_005767277.1
BARBAKC583_RS04275	WP_005767278.1
BARBAKC583_RS04280	WP_005767279.1
BARBAKC583_RS04285	WP_005767280.1
BARBAKC583_RS04290	WP_011807371.1
BARBAKC583_RS04305	WP_005767292.1
BARBAKC583_RS04310	WP_005767294.1
BARBAKC583_RS04315	WP_011807373.1
BARBAKC583_RS04335	WP_005767305.1
BARBAKC583_RS04340	WP_005767307.1
BARBAKC583_RS04345	WP_005767309.1
BARBAKC583_RS04350	WP_005767311.1
BARBAKC583_RS04355	WP_005767315.1
BARBAKC583_RS04360	WP_005767317.1
BARBAKC583_RS04365	WP_005767319.1
BARBAKC583_RS04370	WP_005767321.1
BARBAKC583_RS04375	WP_005767322.1
BARBAKC583_RS04380	WP_005767325.1
BARBAKC583_RS04385	WP_005767328.1
BARBAKC583_RS04390	WP_005767330.1
BARBAKC583_RS04395	WP_005767333.1
BARBAKC583_RS04400	WP_005767335.1
BARBAKC583_RS04405	WP_005767337.1
BARBAKC583_RS04410	WP_005767354.1
BARBAKC583_RS04425	WP_005767360.1
BARBAKC583_RS04430	WP_005767366.1
BARBAKC583_RS04435	WP_005767368.1
BARBAKC583_RS04440	WP_005767371.1
BARBAKC583_RS04445	WP_005767374.1
BARBAKC583_RS04455	WP_005767377.1
BARBAKC583_RS04460	WP_005767379.1
BARBAKC583_RS04465	WP_005767382.1
BARBAKC583_RS04470	WP_005767384.1
BARBAKC583_RS04475	WP_005767386.1
BARBAKC583_RS04480	WP_005767388.1
BARBAKC583_RS04485	WP_005767390.1
BARBAKC583_RS04490	WP_005767392.1
BARBAKC583_RS04495	WP_005767394.1
BARBAKC583_RS04500	WP_005767396.1
BARBAKC583_RS04505	WP_005767398.1
BARBAKC583_RS04510	WP_005767400.1
BARBAKC583_RS04515	WP_005767402.1
BARBAKC583_RS04520	WP_005767404.1
BARBAKC583_RS04525	WP_005767406.1
BARBAKC583_RS04530	WP_005767408.1
BARBAKC583_RS04535	WP_005767411.1
BARBAKC583_RS04545	WP_035453042.1
BARBAKC583_RS04550	WP_005767415.1
BARBAKC583_RS04555	WP_005767417.1
BARBAKC583_RS04560	WP_005767421.1
BARBAKC583_RS04565	WP_011807385.1
BARBAKC583_RS04570	WP_005767425.1
BARBAKC583_RS04575	WP_005767427.1
BARBAKC583_RS04580	WP_005767428.1
BARBAKC583_RS04585	WP_005767430.1
BARBAKC583_RS04590	WP_172952867.1
BARBAKC583_RS04595	WP_005767434.1
BARBAKC583_RS04600	WP_005767435.1
BARBAKC583_RS04605	WP_005767436.1
BARBAKC583_RS04610	WP_005767438.1
BARBAKC583_RS04615	WP_005767440.1
BARBAKC583_RS04620	WP_005767442.1
BARBAKC583_RS04625	WP_005767445.1
BARBAKC583_RS04630	WP_005767447.1
BARBAKC583_RS04635	WP_005767450.1
BARBAKC583_RS04640	WP_005767452.1
BARBAKC583_RS04645	WP_005767454.1
BARBAKC583_RS04650	WP_005767457.1
BARBAKC583_RS04655	WP_005767459.1
BARBAKC583_RS04665	WP_005767461.1
BARBAKC583_RS04670	WP_005767462.1
BARBAKC583_RS04675	WP_035453153.1
BARBAKC583_RS04680	WP_005767464.1
BARBAKC583_RS04685	WP_005767465.1
BARBAKC583_RS04690	WP_005767466.1
BARBAKC583_RS04695	WP_035453032.1
BARBAKC583_RS04700	WP_005767468.1
BARBAKC583_RS04705	WP_005767469.1
BARBAKC583_RS04715	WP_005767473.1
BARBAKC583_RS04720	WP_005767476.1
BARBAKC583_RS04725	WP_005767479.1
BARBAKC583_RS04730	WP_005767481.1
BARBAKC583_RS04735	WP_005767483.1
BARBAKC583_RS04740	WP_005767485.1
BARBAKC583_RS04745	WP_005767487.1
BARBAKC583_RS04755	WP_005767489.1
BARBAKC583_RS04760	WP_080512680.1
BARBAKC583_RS04765	WP_005767491.1
BARBAKC583_RS04775	WP_005767493.1
BARBAKC583_RS04780	WP_005767496.1
BARBAKC583_RS04785	WP_005767499.1
BARBAKC583_RS04790	WP_005767501.1
BARBAKC583_RS04795	WP_005767503.1
BARBAKC583_RS04800	WP_005767509.1
BARBAKC583_RS04805	WP_005767511.1
BARBAKC583_RS04810	WP_005767513.1
BARBAKC583_RS04815	WP_005767516.1
BARBAKC583_RS04820	WP_005767518.1
BARBAKC583_RS04825	WP_005767521.1
BARBAKC583_RS04830	WP_005767523.1
BARBAKC583_RS04835	WP_005767525.1
BARBAKC583_RS04840	WP_005767527.1
BARBAKC583_RS04845	WP_005767530.1
BARBAKC583_RS04850	WP_005767534.1
BARBAKC583_RS04855	WP_005767536.1
BARBAKC583_RS04860	WP_005767538.1
BARBAKC583_RS04865	WP_005767539.1
BARBAKC583_RS04870	WP_005767541.1
BARBAKC583_RS04880	WP_011807393.1
BARBAKC583_RS04885	WP_172952861.1
BARBAKC583_RS04890	WP_005767548.1
BARBAKC583_RS04895	WP_011807395.1
BARBAKC583_RS04900	WP_005767552.1
BARBAKC583_RS04910	WP_005767554.1
BARBAKC583_RS04920	WP_005767556.1
BARBAKC583_RS04935	WP_005767557.1
BARBAKC583_RS04940	WP_005767559.1
BARBAKC583_RS04950	WP_011807396.1
BARBAKC583_RS04960	WP_005767565.1
BARBAKC583_RS04965	WP_005767566.1
BARBAKC583_RS04980	WP_005767569.1
BARBAKC583_RS04985	WP_005767571.1
BARBAKC583_RS04990	WP_005767573.1
BARBAKC583_RS04995	WP_005767576.1
BARBAKC583_RS05000	WP_005767578.1
BARBAKC583_RS05010	WP_035453010.1
BARBAKC583_RS05015	WP_005767582.1
BARBAKC583_RS05020	WP_005767584.1
BARBAKC583_RS05025	WP_005767586.1
BARBAKC583_RS05030	WP_005767588.1
BARBAKC583_RS05035	WP_005767590.1
BARBAKC583_RS05040	WP_005767593.1
BARBAKC583_RS05045	WP_011807398.1
BARBAKC583_RS05055	WP_005767595.1
BARBAKC583_RS05060	WP_005767598.1
BARBAKC583_RS05065	WP_005767599.1
BARBAKC583_RS05070	WP_005767601.1
BARBAKC583_RS05075	WP_005767603.1
BARBAKC583_RS05080	WP_005767604.1
BARBAKC583_RS05085	WP_005767606.1
BARBAKC583_RS05090	WP_005767608.1
BARBAKC583_RS05095	WP_005767609.1
BARBAKC583_RS05100	WP_005767611.1
BARBAKC583_RS05105	WP_005767613.1
BARBAKC583_RS05110	WP_005767615.1
BARBAKC583_RS05120	WP_011807401.1
BARBAKC583_RS05125	WP_005767620.1
BARBAKC583_RS05135	WP_005767624.1
BARBAKC583_RS05140	WP_005767625.1
BARBAKC583_RS05145	WP_172952862.1
BARBAKC583_RS05160	WP_005767633.1
BARBAKC583_RS05170	WP_005767636.1
BARBAKC583_RS05175	WP_005767638.1
BARBAKC583_RS05180	WP_005767639.1
BARBAKC583_RS05210	WP_005767646.1
BARBAKC583_RS05230	WP_005767654.1
BARBAKC583_RS05235	WP_005767656.1
BARBAKC583_RS05240	WP_225866723.1
BARBAKC583_RS05275	WP_005767662.1
BARBAKC583_RS05280	WP_005767664.1
BARBAKC583_RS05285	WP_005767666.1
BARBAKC583_RS05290	WP_005767668.1
BARBAKC583_RS05295	WP_005767671.1
BARBAKC583_RS05300	WP_005767674.1
BARBAKC583_RS05310	WP_005767675.1
BARBAKC583_RS05315	WP_005767676.1
BARBAKC583_RS05320	WP_005767677.1
BARBAKC583_RS05325	WP_005767678.1
BARBAKC583_RS05330	WP_005767679.1
BARBAKC583_RS05340	WP_005767683.1
BARBAKC583_RS05345	WP_005767694.1
BARBAKC583_RS05350	WP_005767696.1
BARBAKC583_RS05355	WP_005767698.1
BARBAKC583_RS05360	WP_005767700.1
BARBAKC583_RS05365	WP_005767702.1
BARBAKC583_RS05370	WP_005767704.1
BARBAKC583_RS05375	WP_005767706.1
BARBAKC583_RS05385	WP_011807408.1
BARBAKC583_RS05395	WP_005767710.1
BARBAKC583_RS05400	WP_005767713.1
BARBAKC583_RS05405	WP_005767715.1
BARBAKC583_RS05410	WP_005767717.1
BARBAKC583_RS05420	WP_005767719.1
BARBAKC583_RS05425	WP_005767721.1
BARBAKC583_RS05430	WP_005767722.1
BARBAKC583_RS05435	WP_005767724.1
BARBAKC583_RS05445	WP_005767726.1
BARBAKC583_RS05465	WP_005767728.1
BARBAKC583_RS05470	WP_005767730.1
BARBAKC583_RS05475	WP_005767732.1
BARBAKC583_RS05480	WP_005767738.1
BARBAKC583_RS05485	WP_005767740.1
BARBAKC583_RS05490	WP_005767742.1
BARBAKC583_RS05495	WP_005767744.1
BARBAKC583_RS05500	WP_005767746.1
BARBAKC583_RS05510	WP_005767748.1
BARBAKC583_RS05525	WP_052467648.1
BARBAKC583_RS05530	WP_005767753.1
BARBAKC583_RS05535	WP_011807413.1
BARBAKC583_RS05540	WP_005767757.1
BARBAKC583_RS05550	WP_005767758.1
BARBAKC583_RS05555	WP_005767760.1
BARBAKC583_RS05560	WP_005767762.1
BARBAKC583_RS05570	WP_005767766.1
BARBAKC583_RS05575	WP_005767768.1
BARBAKC583_RS05580	WP_005767770.1
BARBAKC583_RS05585	WP_005767773.1
BARBAKC583_RS05590	WP_005767776.1
BARBAKC583_RS05595	WP_005767779.1
BARBAKC583_RS05600	WP_005767781.1
BARBAKC583_RS05605	WP_005767784.1
BARBAKC583_RS05610	WP_005767788.1
BARBAKC583_RS05615	WP_005767791.1
BARBAKC583_RS05620	WP_005767793.1
BARBAKC583_RS05625	WP_011807418.1
BARBAKC583_RS05635	WP_005767802.1
BARBAKC583_RS05640	WP_005767804.1
BARBAKC583_RS05645	WP_005767806.1
BARBAKC583_RS05650	WP_005767808.1
BARBAKC583_RS05655	WP_005767810.1
BARBAKC583_RS05675	WP_005767811.1
BARBAKC583_RS05680	WP_005767813.1
BARBAKC583_RS05685	WP_005767815.1
BARBAKC583_RS05690	WP_005767817.1
BARBAKC583_RS05695	WP_005767821.1
BARBAKC583_RS05700	WP_005767824.1
BARBAKC583_RS05705	WP_005767826.1
BARBAKC583_RS05710	WP_005767829.1
BARBAKC583_RS05715	WP_005767831.1
BARBAKC583_RS05720	WP_005767835.1
BARBAKC583_RS05725	WP_005767837.1
BARBAKC583_RS05735	WP_005767840.1
BARBAKC583_RS05740	WP_005767842.1
BARBAKC583_RS05745	WP_005767844.1
BARBAKC583_RS05750	WP_005767846.1
BARBAKC583_RS05755	WP_005767848.1
BARBAKC583_RS05760	WP_005767850.1
BARBAKC583_RS05765	WP_005767656.1
BARBAKC583_RS05770	WP_005767852.1
BARBAKC583_RS05775	WP_005767854.1
BARBAKC583_RS05785	WP_035453368.1
BARBAKC583_RS05805	WP_005767864.1
BARBAKC583_RS05810	WP_005767865.1
BARBAKC583_RS05815	WP_005767866.1
BARBAKC583_RS05820	WP_005767867.1
BARBAKC583_RS05825	WP_005767868.1
BARBAKC583_RS05830	WP_005767869.1
BARBAKC583_RS05835	WP_005767870.1
BARBAKC583_RS05850	WP_005767874.1
BARBAKC583_RS05855	WP_005767876.1
BARBAKC583_RS05860	WP_005767877.1
BARBAKC583_RS05865	WP_005767879.1
BARBAKC583_RS05870	WP_005767881.1
BARBAKC583_RS05875	WP_005767883.1
BARBAKC583_RS05880	WP_005767885.1
BARBAKC583_RS05890	WP_005767886.1
BARBAKC583_RS05895	WP_005767888.1
BARBAKC583_RS05900	WP_005767890.1
BARBAKC583_RS05905	WP_005767892.1
BARBAKC583_RS05910	WP_005767894.1
BARBAKC583_RS05915	WP_005767896.1
BARBAKC583_RS05920	WP_005767899.1
BARBAKC583_RS05925	WP_005767902.1
BARBAKC583_RS05930	WP_005767905.1
BARBAKC583_RS05935	WP_005767908.1
BARBAKC583_RS05940	WP_172952870.1
BARBAKC583_RS05945	WP_005767914.1
BARBAKC583_RS05950	WP_005767917.1
BARBAKC583_RS05955	WP_005767919.1
BARBAKC583_RS05960	WP_011807428.1
BARBAKC583_RS05965	WP_005767923.1
BARBAKC583_RS05970	WP_005767925.1
BARBAKC583_RS05975	WP_005767927.1
BARBAKC583_RS05980	WP_011807429.1
BARBAKC583_RS05985	WP_005767934.1
BARBAKC583_RS05990	WP_005767936.1
BARBAKC583_RS05995	WP_005767938.1
BARBAKC583_RS06015	WP_005767943.1
BARBAKC583_RS06020	WP_005767945.1
BARBAKC583_RS06025	WP_035453357.1
BARBAKC583_RS06030	WP_005767949.1
BARBAKC583_RS06035	WP_005767951.1
BARBAKC583_RS06040	WP_005767953.1
BARBAKC583_RS06045	WP_005767955.1
BARBAKC583_RS06050	WP_005767957.1
BARBAKC583_RS06055	WP_011807432.1
BARBAKC583_RS06060	WP_005767962.1
BARBAKC583_RS06065	WP_005767965.1
BARBAKC583_RS06070	WP_005767968.1
BARBAKC583_RS06075	WP_005767971.1
BARBAKC583_RS06080	WP_011807433.1
BARBAKC583_RS06085	WP_005767976.1
BARBAKC583_RS06090	WP_011807434.1
BARBAKC583_RS06095	WP_005767980.1
BARBAKC583_RS06100	WP_005767982.1
BARBAKC583_RS06105	WP_005767983.1
BARBAKC583_RS06110	WP_005767985.1
BARBAKC583_RS06115	WP_005767988.1
BARBAKC583_RS06120	WP_005767991.1
BARBAKC583_RS06125	WP_005767993.1
BARBAKC583_RS06130	WP_005767995.1
BARBAKC583_RS06140	WP_005767996.1
BARBAKC583_RS06145	WP_005767998.1
BARBAKC583_RS06150	WP_011807436.1
BARBAKC583_RS06155	WP_005768003.1
BARBAKC583_RS06160	WP_011807437.1
BARBAKC583_RS06165	WP_005768006.1
BARBAKC583_RS06170	WP_005768008.1
BARBAKC583_RS06175	WP_044051781.1
BARBAKC583_RS06180	WP_005768012.1
BARBAKC583_RS06185	WP_005768014.1
BARBAKC583_RS06190	WP_005768015.1
BARBAKC583_RS06195	WP_005768019.1
BARBAKC583_RS06200	WP_005768021.1
BARBAKC583_RS06205	WP_005768023.1
BARBAKC583_RS06215	WP_005768025.1
BARBAKC583_RS06220	WP_005768027.1
BARBAKC583_RS06225	WP_005768028.1
BARBAKC583_RS06230	WP_005768031.1
BARBAKC583_RS06235	WP_011807439.1
BARBAKC583_RS06240	WP_005768036.1
BARBAKC583_RS06245	WP_005768038.1
BARBAKC583_RS06250	WP_005768040.1
BARBAKC583_RS06255	WP_005768042.1
BARBAKC583_RS06260	WP_011807442.1
BARBAKC583_RS06265	WP_005768047.1
BARBAKC583_RS06270	WP_005768049.1
BARBAKC583_RS06275	WP_005768052.1
BARBAKC583_RS06280	WP_005768054.1
BARBAKC583_RS06285	WP_005768057.1
BARBAKC583_RS06290	WP_005768059.1
BARBAKC583_RS06295	WP_172952863.1
BARBAKC583_RS06300	WP_005768063.1
BARBAKC583_RS06305	WP_005768066.1
BARBAKC583_RS06310	WP_005768069.1
BARBAKC583_RS06320	WP_005768075.1
BARBAKC583_RS06330	WP_005768077.1
BARBAKC583_RS06335	WP_005768078.1
BARBAKC583_RS06345	WP_005768080.1
BARBAKC583_RS06350	WP_005768082.1
BARBAKC583_RS06355	WP_035453288.1
BARBAKC583_RS06360	WP_005768086.1
BARBAKC583_RS06365	WP_005768088.1
BARBAKC583_RS06370	WP_005768090.1
BARBAKC583_RS06375	WP_005768092.1
BARBAKC583_RS06380	WP_005768094.1
BARBAKC583_RS06385	WP_005768096.1
BARBAKC583_RS06390	WP_005768098.1
BARBAKC583_RS06395	WP_005768100.1
BARBAKC583_RS06400	WP_005768101.1
BARBAKC583_RS06405	WP_005768102.1
BARBAKC583_RS06410	WP_035453351.1
BARBAKC583_RS06415	WP_005768104.1
BARBAKC583_RS06420	WP_005768105.1
BARBAKC583_RS06425	WP_005768106.1
BARBAKC583_RS06430	WP_005768107.1
BARBAKC583_RS06435	WP_005768108.1
BARBAKC583_RS06440	WP_005768109.1
BARBAKC583_RS06445	WP_005768110.1
BARBAKC583_RS06450	WP_005768111.1
BARBAKC583_RS06455	WP_005768112.1
BARBAKC583_RS06460	WP_005768114.1
BARBAKC583_RS06465	WP_005768116.1
BARBAKC583_RS06470	WP_011807449.1
BARBAKC583_RS06475	WP_005768120.1
BARBAKC583_RS06480	WP_011807451.1
BARBAKC583_RS06485	WP_005768122.1
BARBAKC583_RS06495	WP_005768124.1
BARBAKC583_RS06500	WP_005768125.1
BARBAKC583_RS06505	WP_005768126.1
BARBAKC583_RS06510	WP_005768127.1
BARBAKC583_RS06515	WP_005768128.1
BARBAKC583_RS06520	WP_005768129.1
BARBAKC583_RS06525	WP_005768130.1
BARBAKC583_RS06530	WP_005768131.1
BARBAKC583_RS06535	WP_005768133.1
BARBAKC583_RS06540	WP_005768147.1
BARBAKC583_RS06545	WP_005768149.1
BARBAKC583_RS06550	WP_005768151.1
BARBAKC583_RS06555	WP_005768153.1
BARBAKC583_RS06560	WP_080512682.1
BARBAKC583_RS06570	WP_005768156.1
BARBAKC583_RS06575	WP_005768157.1
BARBAKC583_RS06580	WP_005768158.1
BARBAKC583_RS06585	WP_005768160.1
BARBAKC583_RS06590	WP_005768163.1
BARBAKC583_RS06595	WP_005768164.1
BARBAKC583_RS06600	WP_005768165.1
BARBAKC583_RS06605	WP_005768166.1
BARBAKC583_RS06610	WP_005768168.1
BARBAKC583_RS06615	WP_005768170.1
BARBAKC583_RS06620	WP_005768172.1
BARBAKC583_RS06625	WP_005768174.1
BARBAKC583_RS06630	WP_005768178.1
BARBAKC583_RS06635	WP_005768181.1
BARBAKC583_RS06640	WP_035453280.1
BARBAKC583_RS06645	WP_005768183.1
BARBAKC583_RS06650	WP_005768184.1
BARBAKC583_RS06655	WP_005768187.1
BARBAKC583_RS06660	WP_005768189.1
BARBAKC583_RS06665	WP_005768191.1
BARBAKC583_RS06670	WP_005768193.1
BARBAKC583_RS06675	WP_011807453.1
BARBAKC583_RS06680	WP_104408433.1
BARBAKC583_RS06685	WP_005768203.1
BARBAKC583_RS06690	WP_005768206.1
BARBAKC583_RS06725	WP_005765812.1
BARBAKC583_RS06745	WP_005766039.1
BARBAKC583_RS06865	WP_005767680.1
BARBAKC583_RS06935	WP_005766033.1
BARBAKC583_RS06940	WP_172952858.1
BARBAKC583_RS06945	WP_005766099.1
BARBAKC583_RS06950	WP_005766201.1
BARBAKC583_RS06955	WP_244426311.1
BARBAKC583_RS06970	WP_005767313.1
BARBAKC583_RS06985	WP_005767682.1
BARBAKC583_RS06990	WP_011807415.1
BARBAKC583_RS06995	WP_005767823.1
BARBAKC583_RS07035	WP_225866730.1
BARBAKC583_RS07045	WP_011807328.1
BARBAKC583_RS07055	WP_236822973.1
BARBAKC583_RS07060	WP_236822976.1
BARBAKC583_RS07070	WP_225866733.1
BARBAKC583_RS07095	WP_080512677.1
BARBAKC583_RS07100	WP_080774880.1
BARBAKC583_RS07120	WP_225866722.1
BARBAKC583_RS07125	WP_236822979.1
BARBAKC583_RS07130	WP_051007750.1
BARBAKC583_RS07145	WP_005766217.1
BARBAKC583_RS07150	WP_250645096.1
BARBAKC583_RS07155	WP_196242563.1
BARBAKC583_RS07170	WP_005766090.1
BARBAKC583_RS07185	WP_335617968.1
BARBAKC583_RS07190	WP_005767200.1
BARBAKC583_RS07195	WP_335617962.1
BARBAKC583_RS07200	WP_080512684.1
BARBAKC583_RS07215	WP_225866728.1
BARBAKC583_RS07230	WP_005767302.1
BARBAKC583_RS07235	WP_414945892.1
BARBAKC583_RS07240	WP_414945891.1
BARBAKC583_RS07245	WP_011807419.1
